|Sr No|Zone|Region|Branch/Micro Market|Collateral Type|Sub Collateral Type|Categorisation (P/A/I)|Type 1/2/3/4|Documentation & other Approvals|
|155  |South  |Karnataka     |Bangalore /Mysore / Hubli / Mangalore                     |Properties with Narrow approach in CMC/BBMP Limits                                                                                                                                 |Less than 10feet >5 feet road access                                                                                                                    |A                     |Type III          |1.Property located in corporation Limits. 2. Zoning residential as per CDP 3.RMOE  4.For common passage, NOC from neighbour to be documented.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |
|156  |South  |Karnataka     |Bangalore /Mysore / Hubli / Mangalore                     |Properties with Narrow approach in GP Limits                                                                                                                                       |Less than 10feet >5 feet road access                                                                                                                    |I                     |Type IV           |1.Property located in GP Limits- residential developed locality. 2. Zoning residential as per CDP 3.RMOE  4.For common passage, NOC from neighbour to be documented.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |
|157  |South  |Tamilnadu     |Tamilnadu                                                 |Without approval from DA / LPA for the properties - Indpendent Houses                                                                                                              |MC Limits                                                                                                                                               |A                     |Type II           |Minimum land extent is 400 Sq. Ft Maximum land extent is 1500 Sq. Ft Minimum 50% habitation should be avaialbe Property should be within corporation limits Corporation TSLR / Proeprty tax receipt is to be documented Working drawing and estimation is to be documented in case of property is in under construction More than 7 years old property along with TSLR for the subject                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  |
|158  |South  |Tamilnadu     |Tamilnadu                                                 |Without approval from DA / LPA for the properties - Indpendent Houses                                                                                                              |GP Limits                                                                                                                                               |I                     |Type III          |Minimum land extent is 600 Sq. Ft Minimum 50% habitation should be avaialbe Patta signed by Tahsildar / Proeprty tax receipt is to be documented Working drawing and estimation is to be documented in case of property is in under construction More than 7 years old property along with Patta for the subject                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        |
|159  |South  |Tamilnadu     |Tamilnadu                                                 |Apartments situated within corporation limits - without plan approval                                                                                                              |Upto G+2 floors                                                                                                                                         |A                     |Type II           |Property should be within corporation/city limits Minimum 10 years proeprty tax receipt is to be documented Under construction properties and less than 10 years old properties not elible for funding with unit deviation Upto G+2 structure can be considered for funding, in case of unapproved unit within in approved floor / in a more than 10 years old                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |
|160  |South  |Tamilnadu     |Tamilnadu                                                 |Commercial LAP - Wihtout Plan Approval                                                                                                                                             |Land & Building Property                                                                                                                                |P                     |Type II           |Property should be within corporation limits Corporation TSLR / Proeprty tax receipt is to be documented More than 10 years old property along with TSLR for the subject                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |
|161  |South  |Tamilnadu     |Tamilnadu                                                 |Property situated within ASI Regulated Zone with plan approval from DA / LPA                                                                                                       |Properties in ASI regulated Zone                                                                                                                        |A                     |Type II           |Minimum 75% habitation should be avaialbe Property should be within corporation/city limits Corporation TSLR / Proeprty tax receipt is to be documented                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
|162  |South  |Tamilnadu     |Tamilnadu                                                 |Property situated within ASI Regulated Zone without plan approval                                                                                                                  |Properties in ASI regulated Zone                                                                                                                        |A                     |Type II           |Minimum 75% habitation should be avaialbe Property should be within corporation/city limits Corporation TSLR / Proeprty tax receipt is to be documented Under construction properties and less than 10 years old properties not elible for funding                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      |
|163  |South  |Tamilnadu     |Tamilnadu                                                 |Gramanatham - Residential/Mixed properties with plan approval                                                                                                                      |Gramanatham resi / Mixed properties                                                                                                                     |A                     |Type I            |Minimum 50% habitation should be avaialbe No commercial property is to be considered for funding Patta/TSLR with land classification of Porambokku not to be considered for funding                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
|164  |South  |Tamilnadu     |Tamilnadu                                                 |Gramanatham - Residential/Mixed properties without plan approval                                                                                                                   |Gramanatham resi / Mixed properties                                                                                                                     |A                     |Type II           |Minimum 50% habitation should be avaialbe No commercial property is to be considered for funding Patta/TSLR with land classification of Porambokku not to be considered for funding                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
|165  |South  |Tamilnadu     |Tamilnadu                                                 |Gramanatham commercial properties                                                                                                                                                  |Gramanatham commercial properties                                                                                                                       |A                     |Type II           |Only land value to be considered for funding Only Completed properties are allowed for funding. Property should be within corporation limits TSLR with land classification of Porambokku not to be considered for funding                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               |
|166  |South  |Tamilnadu     |Tamilnadu                                                 |Narrow pathway properties between (5 to 8 feet) - with plan approval                                                                                                               |MC Limits                                                                                                                                               |A                     |Type II           |Property should be within corporation limits Corporation TSLR / Proeprty tax receipt is to be documented Approved Plan and estimation are required in case of property                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  |
